"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 22 13:16:09 UTC 2022","Thu Dec 22 13:16:16 UTC 2022","6664","headless","tests/assertions.spec.js","","","","Negating matchers assertion",""
"skipped","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:15:51 UTC 2022","8","headless","tests/pageFixture.spec.js","","","","Page fixture Playwright test",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:09 UTC 2022","18229","headless","tests/multipleDescribe.spec.js","Describe block","","","Navigate to google.com and assert title",""
"passed","Thu Dec 22 13:15:57 UTC 2022","Thu Dec 22 13:16:01 UTC 2022","3984","headless","tests/dialog.spec.js","","","","Verify Confirm Dialog OK",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:03 UTC 2022","12019","headless","tests/textContent.spec.js","","","","textContent vs allTextContents",""
"passed","Thu Dec 22 13:16:04 UTC 2022","Thu Dec 22 13:16:17 UTC 2022","12253","headless","tests/UiBasicTest.spec.js","","","","Login and validation",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:07 UTC 2022","16445","headless","tests/api.spec.js","","","","Client app login",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:15 UTC 2022","23626","headless","tests/hidden.spec.js","","","","Hidden/Unhidden assertion",""
"passed","Thu Dec 22 13:16:16 UTC 2022","Thu Dec 22 13:16:17 UTC 2022","717","headless","tests/assertions.spec.js","","","","Polling in playwright",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:19 UTC 2022","27887","headless","tests/childWindow.spec.js","","","","Handling tabs in playwright",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:10 UTC 2022","19346","headless","tests/clientApp.spec.js","","","","clientApp login",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:22 UTC 2022","30987","headless","tests/multiple.spec.js","","","","Navigate to @google and assert title",""
"passed","Thu Dec 22 13:16:03 UTC 2022","Thu Dec 22 13:16:09 UTC 2022","6328","headless","tests/assertions.spec.js","","","","Assertion with custom expect message in playwright",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:02 UTC 2022","11397","headless","tests/dropdown.spec.js","","","","select from dropdown",""
"passed","Thu Dec 22 13:16:17 UTC 2022","Thu Dec 22 13:16:22 UTC 2022","4259","headless","tests/UiBasicTest.spec.js","local block","","","Page fixture Playwright test",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:14 UTC 2022","23600","headless","tests/multipleDescribe.spec.js","Describe block","","","Navigate to daraz.com and asser title",""
"passed","Thu Dec 22 13:16:17 UTC 2022","Thu Dec 22 13:16:17 UTC 2022","763","headless","tests/UiBasicTest.spec.js","","","","Polling on playwright",""
"skipped","Thu Dec 22 13:16:16 UTC 2022","Thu Dec 22 13:16:16 UTC 2022","0","headless","tests/assertions.spec.js","","","","Soft assertion in playwright",""
"passed","Thu Dec 22 13:16:22 UTC 2022","Thu Dec 22 13:16:33 UTC 2022","10818","headless","tests/multiple.spec.js","","","","Navigate to @daraz.com and asser title",""
"passed","Thu Dec 22 13:16:01 UTC 2022","Thu Dec 22 13:16:03 UTC 2022","2764","headless","tests/dialog.spec.js","","","","Accept Value in Prompt",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:03 UTC 2022","12361","headless","tests/assertions.spec.js","","","","Normal Assertion in playwright",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:20 UTC 2022","28843","headless","tests/frames.spec.js","","","","Handle frames in playwright",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:09 UTC 2022","18740","headless","tests/elements.spec.js","","","","Login and validation",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:15:56 UTC 2022","5876","headless","tests/dialog.spec.js","","","","Verify Alert",""
"passed","Thu Dec 22 13:16:19 UTC 2022","Thu Dec 22 13:16:39 UTC 2022","20515","headless","tests/childWindow.spec.js","","","","Handling child windows in playwright",""
"passed","Thu Dec 22 13:15:51 UTC 2022","Thu Dec 22 13:16:04 UTC 2022","13041","headless","tests/UiBasicTest.spec.js","","","","Browser fixture Playwright test",""
